iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
25,0.7583860123972724,0.03296362920390776,0.7672108626303379,0.02286725256176563,0.4340023454502191,0.05144823343104088,0.38484616902956914,0.01770379885543515
26,0.7579493161285707,0.033024529806917724,0.7680712234106989,0.021084508207594138,0.4318529975882516,0.052101492590955305,0.38289038016993143,0.016573097480255435
27,0.7508735555882248,0.03981329893458892,0.7718099663089588,0.023761824101681338,0.4340317144152773,0.05096856814148106,0.3794934683285176,0.016934169415826032
28,0.7444337047956843,0.0379507699224966,0.7728781891664889,0.023263786882746777,0.4324398988894707,0.05360003726718833,0.3774945835454057,0.01679768620166348
29,0.7488802215675119,0.04465730748273618,0.7753808485316563,0.02169561311604049,0.4310753154490544,0.05703207788714795,0.3749460666378999,0.01618316500759596
30,0.7559043802045737,0.043088895176018244,0.7726340647999791,0.0249341387526708,0.43113789089559285,0.057709626434627716,0.3728490295162327,0.016506100709943176
31,0.7550450405392639,0.044104148728373344,0.7757698339846093,0.02017415290394677,0.43095680282005866,0.058399004473687115,0.3711313887816141,0.01737913295455497
32,0.7574691477676552,0.03994105745602656,0.7733145463294175,0.022222610649264212,0.43091073534708846,0.05886983336259866,0.3704125202720292,0.017077638179740014
33,0.7541629719997666,0.04148636416439569,0.7774256812353304,0.018535183391102113,0.42980835334742745,0.05857508987762913,0.3687592131047933,0.01731043580040803
34,0.7479893165347584,0.04477615043102605,0.780814209854099,0.015592519877385939,0.43111894545179136,0.060165717709530574,0.36663254124789424,0.01819096129832342
35,0.7487749179394995,0.04118967472917375,0.7828864312074552,0.016104984437832752,0.43359303900321217,0.05665463369727708,0.3641540440824606,0.017125984348587933
36,0.7527506755152571,0.04434758403698668,0.7870137294975299,0.0125728348929857,0.4311708405529866,0.05781858866608556,0.36218481588281826,0.01678550578720067
37,0.7477687278489259,0.046360496729906595,0.7877780542149042,0.013231486099286536,0.4308376605346275,0.05804678821270419,0.36057318059491406,0.017142389410607358
38,0.7488036042060396,0.04369961745086766,0.789877771592643,0.011281943112565173,0.43056812078057166,0.05881633895412395,0.3582492002331442,0.01711737046186447
39,0.7515481223448075,0.044442890021385274,0.7916247587063641,0.011815808845395086,0.42928883123595607,0.058690985582319784,0.35680717000320844,0.017517390572375106
40,0.760516422470864,0.052711583979511534,0.79382626093074,0.010672844504321745,0.4280387897289093,0.059016551915224966,0.35581175004974624,0.0180916758996273
41,0.7581693790619544,0.049515383752973666,0.7959459683199643,0.009706775262730033,0.42718279430260786,0.06113339300838078,0.3529022157808418,0.016459370492862654
42,0.7599736816296158,0.051942837956986,0.7960937595981091,0.010178475921251076,0.4272540438886539,0.06177812832764888,0.3521380298547129,0.01685667831287693
43,0.7588304752955917,0.055240042484998385,0.7993368783099706,0.014092788816830418,0.42691934418792876,0.061158675237558226,0.34937027588949937,0.0176183282676994
44,0.7595351969305458,0.05620063073620313,0.7995380928119202,0.011795190336756658,0.4283222073482822,0.06522004419842194,0.34674003896880035,0.016451318147601094
45,0.7570988735639899,0.053004927094017946,0.7995415880108133,0.01187425371385572,0.42687373442342674,0.06617277185778445,0.3448826831371331,0.016393729085765293
46,0.7558240329190705,0.05148363615431286,0.8011001054395137,0.01100582090949957,0.42689731869400144,0.0669293016701065,0.3428719371490388,0.016466384496435695
47,0.7558906256310836,0.052539946410974446,0.8010707424480096,0.011312479579048625,0.42905976257189693,0.06910783579267694,0.3410589210342062,0.017281460385077323
48,0.7564858637263217,0.053310681822434376,0.803238302604138,0.010688553093309166,0.42887244752395537,0.07128919122930721,0.3378159599794922,0.016396273126120485
49,0.7548265497578475,0.05393231762525293,0.8042889597348509,0.012519209892440498,0.4350775014660512,0.07622144677464911,0.33536274315598025,0.017790691741538456
50,0.7530849411883267,0.052495787541993515,0.8077417521280887,0.010110025297963371,0.440219746170163,0.07437047877988491,0.33257348035762135,0.01682548583254744
51,0.7532102531738769,0.0496906972232345,0.8105798396219169,0.011399076848859385,0.43807002811052803,0.07330432791812566,0.32961531195166666,0.01675628346639191
52,0.7458803413777374,0.0465452675175348,0.8122884267929755,0.014112198962449085,0.44100169626810326,0.07583912015359189,0.32671965947122905,0.017296793939494844
53,0.7447190510551567,0.047238585278843906,0.8119140713501869,0.01243778086700561,0.44085851487911026,0.07521939161998382,0.32498137788207454,0.017488964561822185
54,0.7420790086712089,0.0472458346761224,0.8134998155985966,0.013548437091477085,0.44245952073425326,0.07620873195107399,0.32301258059581556,0.018542374898047467
